country,year,combined_box_office
Great Britain,2015,1194683489
Great Britain,2016,1076331726
Great Britain,2017,1075606547
Great Britain,2018,1092275379
Great Britain,2019,1035179716
Great Britain,2020,256496387
Great Britain,2021,483431896
USA,2015,9497161726
USA,2016,10524543583
USA,2017,9845909824
USA,2018,10548655309
USA,2019,9143108422
USA,2020,1935293965
USA,2021,3993252142
Japan,2015,594417147
Japan,2016,824382117
Japan,2017,783950323
Japan,2018,747172330
Japan,2019,881417193
Japan,2020,490991552
Japan,2021,502420063
France,2015,964428255
France,2016,1001984909
France,2017,1071658027
France,2018,1089324690
France,2019,1160151661
France,2020,322357136
France,2021,537044259
China,2015,669406818
China,2016,4114600453
China,2017,4951603821
China,2018,5582077533
China,2019,5032558006
China,2020,1455065023
China,2021,3968000151
Australia,2015,642856173
Australia,2016,622068472
Australia,2017,572954647
Australia,2018,617002119
Australia,2019,575228507
Australia,2020,186345098
Australia,2021,277162915
Germany,2015,884503329
Germany,2016,658437280
Germany,2017,730972932
Germany,2018,632402506
Germany,2019,717117877
Germany,2020,200306283
Germany,2021,256894088
Mexico,2015,484292120
Mexico,2016,529415051
Mexico,2017,558122038
Mexico,2018,556418711
Mexico,2019,616876912
Mexico,2020,113251517
Mexico,2021,258380549
Italy,2015,532964720
Italy,2016,478078883
Italy,2017,441528999
Italy,2018,450479820
Italy,2019,467278409
Italy,2020,114054086
Italy,2021,136426686
Malaysia,2015,143018647
Malaysia,2016,78063301
Malaysia,2017,90432717
Malaysia,2018,95109120
Malaysia,2019,100246364
Malaysia,2020,8848943
Malaysia,2021,8150889
Pakistan,2015,0
Pakistan,2016,293582
Pakistan,2017,3215270
Pakistan,2018,1951588
Pakistan,2019,2104966
Pakistan,2020,604188
Pakistan,2021,2564
Venezuela,2015,200500338
Venezuela,2016,41905310
Venezuela,2017,35130212
Venezuela,2018,48782545
Venezuela,2019,5489642
Venezuela,2020,153408
Venezuela,2021,557892
Argentina,2015,0
Argentina,2016,0
Argentina,2017,0
Argentina,2018,0
Argentina,2019,26139
Argentina,2020,2563
Argentina,2021,466
Austria,2015,184107056
Austria,2016,184866640
Austria,2017,207937547
Austria,2018,149931061
Austria,2019,130492390
Austria,2020,17341896
Austria,2021,21746464
Belgium,2015,0
Belgium,2016,0
Belgium,2017,77416
Belgium,2018,207282
Belgium,2019,199992
Belgium,2020,86910
Belgium,2021,567
Bolivia,2015,99248806
Bolivia,2016,59792671
Bolivia,2017,54406828
Bolivia,2018,49366122
Bolivia,2019,56109369
Bolivia,2020,10489826
Bolivia,2021,10552555
Brazil,2015,6559640
Brazil,2016,1995263
Brazil,2017,1182841
Brazil,2018,4372339
Brazil,2019,3064296
Brazil,2020,1877089
Brazil,2021,17205
Bulgaria,2015,0
Bulgaria,2016,0
Bulgaria,2017,0
Bulgaria,2018,0
Bulgaria,2019,0
Bulgaria,2020,1449
Bulgaria,2021,0
Chile,2015,135844226
Chile,2016,82334515
Chile,2017,79797973
Chile,2018,71902514
Chile,2019,92067813
Chile,2020,21660230
Chile,2021,17160462
Colombia,2015,18661255
Colombia,2016,12220418
Colombia,2017,19858897
Colombia,2018,21213240
Colombia,2019,19784851
Colombia,2020,1511652
Colombia,2021,1843541
Croatia,2015,0
Croatia,2016,0
Croatia,2017,0
Croatia,2018,0
Croatia,2019,0
Croatia,2020,0
Croatia,2021,0
Czechia,2015,431116929
Czechia,2016,489300189
Czechia,2017,568334449
Czechia,2018,451490539
Czechia,2019,477004544
Czechia,2020,94799368
Czechia,2021,87522234
Denmark,2015,14409980
Denmark,2016,15855612
Denmark,2017,17315389
Denmark,2018,14403672
Denmark,2019,14313000
Denmark,2020,3806260
Denmark,2021,8485393
Ecuador,2015,0
Ecuador,2016,84099
Ecuador,2017,0
Ecuador,2018,0
Ecuador,2019,0
Ecuador,2020,30634
Ecuador,2021,0
Egypt,2015,0
Egypt,2016,0
Egypt,2017,0
Egypt,2018,0
Egypt,2019,0
Egypt,2020,220700
Egypt,2021,33056
Estonia,2015,87552818
Estonia,2016,47880022
Estonia,2017,68836154
Estonia,2018,69365173
Estonia,2019,77909331
Estonia,2020,6919456
Estonia,2021,6102681
Finland,2015,99782646
Finland,2016,79304951
Finland,2017,133013558
Finland,2018,128972785
Finland,2019,120313853
Finland,2020,15521612
Finland,2021,48126982
Greece,2015,0
Greece,2016,0
Greece,2017,386585
Greece,2018,204057
Greece,2019,661406
Greece,2020,49686
Greece,2021,9525
Hong Kong,2015,10933558
Hong Kong,2016,6393434
Hong Kong,2017,5653314
Hong Kong,2018,15582350
Hong Kong,2019,17841710
Hong Kong,2020,5350326
Hong Kong,2021,9917642
Hungary,2015,0
Hungary,2016,0
Hungary,2017,0
Hungary,2018,0
Hungary,2019,0
Hungary,2020,8220
Hungary,2021,370
Iceland,2015,0
Iceland,2016,0
Iceland,2017,995643
Iceland,2018,1343779
Iceland,2019,874011
Iceland,2020,196895
Iceland,2021,71430
India,2015,45272851
India,2016,55241492
India,2017,58850449
India,2018,64464388
India,2019,67164935
India,2020,25422596
India,2021,30399921
Indonesia,2015,0
Indonesia,2016,0
Indonesia,2017,0
Indonesia,2018,0
Indonesia,2019,0
Indonesia,2020,0
Indonesia,2021,245000
Israel,2015,75289293
Israel,2016,51144154
Israel,2017,62101056
Israel,2018,54928160
Israel,2019,62475527
Israel,2020,14415826
Israel,2021,9131054
Jordan,2015,0
Jordan,2016,0
Jordan,2017,1714916
Jordan,2018,1866245
Jordan,2019,1656522
Jordan,2020,903379
Jordan,2021,14717
Kenya,2015,64928
Kenya,2016,0
